Exp	Bag	Plot	Trtmt	Rep	Timepoint	Bag.Tagpre	Litter.pre	Wet	Dry	Moisture.Percent	Moisture.Percent	TinAsh.g	MassRemaining.PreASH	PostASH	MassRemaining	mass.loss
S	500	1	UT	X	A	9.629	9.071	54.374	34.664	0.568601431	0.568601431	3.7452	15.6895	12.9214	2.7681	0.694840701
S	501	1	UT	Y	A	9.417	9.023	54.192	31.329	0.729771139	0.729771139	3.7238	13.3177	10.4464	2.8713	0.681779896
S	507	2	T	X	A	9.635	9.005	52.987	36.12	0.466971207	0.466971207	3.7598	15.3002	12.469	2.8312	0.685596891
S	508	2	T	Y	A	9.674	9.053	52.877	36.061	0.466320956	0.466320956	3.7691	13.3871	10.6872	2.6999	0.70176737
S	513	3	T	X	A	9.593	9.056	60.64	40.431	0.499839232	0.499839232	5.6581	18.8106	15.4576	3.353	0.629748233
S	514	3	T	Y	A	9.78	9.019	50.766	34.691	0.463376668	0.463376668	3.7469	11.6827	9.086	2.5967	0.712085597
S	520	4	T	X	A	9.568	9.093	69.359	47.608	0.456876995	0.456876995	3.7656	24.139	20.2568	3.8822	0.573056197
S	521	4	T	Y	A	9.583	9.047	58.589	40.383	0.450833271	0.450833271	3.7945	15.0198	11.896	3.1238	0.65471427
S	526	5	T	X	A	9.645	9.078	47.149	31.739	0.485522543	0.485522543	3.7674	11.9881	9.2387	2.7494	0.697135933
S	527	5	T	Y	A	9.605	9.051	44.24	29.54	0.497630332	0.497630332	3.7491	10.9311	8.1545	2.7766	0.693227268
S	533	6	UT	X	A	9.766	9.009	60.759	40.951	0.483700032	0.483700032	3.7406	14.9004	11.9547	2.9457	0.673026973
S	534	6	UT	Y	A	9.625	9.095	82.789	56.985	0.452820918	0.452820918	3.7443	23.8468	20.2248	3.622	0.601759208
S	539	7	UT	X	A	9.529	9.011	38.286	25.495	0.501706217	0.501706217	3.7678	10.276	7.597	2.679	0.702696704
S	540	7	UT	Y	A	9.939	9.019	36.924	26.084	0.415580432	0.415580432	5.6695	9.431	6.8519	2.5791	0.714037033
S	545	8	UT	X	A	9.442	9.08	42.938	31.467	0.36454063	0.36454063	5.6438	14.4518	11.6917	2.7601	0.696024229
S	546	8	UT	Y	A	9.444	9.082	92.178	63.84	0.443890977	0.443890977	7.5346	36.5243	31.91493	4.60937	0.492471922
S	552	9	T	X	A	9.713	9.01	50.727	37.857	0.339963547	0.339963547	3.7073	13.6367	11.0114	2.6253	0.708623751
S	558	9	T	X	A	9.478	9.032	43.916	31.409	0.398197969	0.398197969	3.8601	12.0673	9.0528	3.0145	0.66624225
S	553	10	UT	Y	A	9.587	9.099	43.377	31.705	0.368143826	0.368143826	3.7537	13.1989	10.3568	2.8421	0.687646994
S	559	10	UT	Y	A	9.573	9.031	53.204	35.839	0.484528028	0.484528028	3.7267	13.6259	10.7486	2.8773	0.681397409
S	502	1	UT	X	B	9.718	9.056	34.9	25.33	0.37781287	0.37781287	1.8802	7.0122	5.6802	1.332	0.852915194
S	503	1	UT	Y	B	9.703	9.006	19.32	17.61	0.097103918	0.097103918	1.8695	4.7162	3.5798	1.1364	0.873817455
S	509	2	T	X	B	9.636	9.056	35.63	26.4	0.349621212	0.349621212	1.8736	5.249	4.0635	1.1855	0.869092314
S	510	2	T	Y	B	9.58	9.02	55.75	41.17	0.354141365	0.354141365	1.876	10.1656	8.7053	1.4603	0.838104213
S	515	3	T	X	B	9.62	9.105	30.27	26.77	0.130743369	0.130743369	1.8815	8.0998	6.5857	1.5141	0.833706755
S	516	3	T	Y	B	9.493	9.055	30.04	24.52	0.225122349	0.225122349	1.8795	5.9116	4.7873	1.1243	0.875836554
S	522	4	T	X	B	9.495	9.012	26.49	24.11	0.098714226	0.098714226	1.8877	7.2236	5.5426	1.681	0.813470928
S	523	4	T	Y	B	9.585	9.092	41.46	36.48	0.136513158	0.136513158	1.893	17.0245	14.4934	2.5311	0.721612407
S	528	5	T	X	B	9.692	9.059	35.49	29.05	0.221686747	0.221686747	1.8887	9.2531	7.4183	1.8348	0.797461088
S	529	5	T	Y	B	9.769	9.086	37.17	27.51	0.351145038	0.351145038	1.8917	5.4463	4.3757	1.0706	0.882170372
S	535	6	UT	X	B	9.616	9.066	35.45	25.78	0.375096974	0.375096974	1.8719	5.5583	4.4314	1.1269	0.875700419
S	536	6	UT	Y	B	9.663	9.047	39.45	34.37	0.147803317	0.147803317	1.8838	12.0128	9.9328	2.08	0.770089532
S	541	7	UT	X	B	9.607	9.082	35.33	29.08	0.214924347	0.214924347	1.8922	10.1396	8.1975	1.9421	0.786159436
S	542	7	UT	Y	B	9.58	9.057	25.06	21.83	0.147961521	0.147961521	1.8906	5.8225	4.3618	1.4607	0.838721431
S	547	8	UT	X	B	9.619	9.008	32.94	27.14	0.213706706	0.213706706	1.8779	9.3182	7.5667	1.7515	0.805561723
S	548	8	UT	Y	B	9.443	9.089	40.2	33.04	0.216707022	0.216707022	1.8902	10.7021	9.2095	1.4926	0.835779514
S	554	9	T	X	B	9.483	9.054	34.62	27.14	0.275607959	0.275607959	1.8854	9.1793	7.4927	1.6866	0.813717694
S	555	9	T	Y	B	9.629	9.008	39.23	30.41	0.290036172	0.290036172	1.8511	8.5838	7.1335	1.4503	0.838998668
S	560	10	UT	X	B	9.452	9.028	34.41	24.98	0.377502002	0.377502002	1.8843	4.745	3.8932	0.8518	0.905649092
S	561	10	UT	Y	B	9.708	9.077	39.48	33.74	0.170124481	0.170124481	1.8986	9.3973	7.9442	1.4531	0.839914069
S	504	1	UT	X	C	9.677	9.033	29.5	23.91	0.233793392	0.233793392	1.839	5.518	4.9572	0.5608	0.937916528
S	505	1	UT	Y	C	9.755	9.052	48.71	36.89	0.320412036	0.320412036	1.8408	9.022	8.1509	0.8711	0.903767123
